,Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude,Country
464,Greater Accra,Accra Metropolitan,Ayifua Clinic,Clinic,Nyaniba Estate (Osu),Private,5.580728,-0.210467,Ghana
465,Greater Accra,Accra Metropolitan,Otoo Memorial Dental Clinic,Clinic,Adabraka (94 Kojo Thompson Rd. - Premises of Avenida Hotel),Private,5.580728,-0.210467,Ghana
466,Greater Accra,Accra Metropolitan,Family Clinic,Clinic,Adabraka,Private,5.580728,-0.210467,Ghana
467,Greater Accra,Accra Metropolitan,Civil Service Clinic,Clinic,Osu,Government,5.580728,-0.210467,Ghana
468,Greater Accra,Accra Metropolitan,Obenfo Hospital,Hospital,Mataheko,Private,5.580728,-0.210467,Ghana
469,Greater Accra,Accra Metropolitan,Hanson Medical Centre,Clinic,North Odorkor,Private,5.580728,-0.210467,Ghana
470,Greater Accra,Accra Metropolitan,Aroma Dental Clinic,Clinic,Zongo (near night market),Private,5.580728,-0.210467,Ghana
471,Greater Accra,Accra Metropolitan,Bethany Medical Centre,Clinic,Kaneshie,Private,5.580728,-0.210467,Ghana
472,Greater Accra,Accra Metropolitan,Lighthouse Mission,Clinic,Tesano,Private,5.580728,-0.210467,Ghana
473,Greater Accra,Accra Metropolitan,Achimota Hospital,Hospital,Achimota,Government,5.580728,-0.210467,Ghana
474,Greater Accra,Accra Metropolitan,Fire Medical Centre,Clinic,James Town,Private,5.580728,-0.210467,Ghana
475,Greater Accra,Ga East,Madina Health Centre,Clinic,Madina (New Road),Private,5.708873,-0.2432307,Ghana
476,Greater Accra,Ga East,Superior Medical Centre,Clinic,Dome,Private,5.708873,-0.2432307,Ghana
477,Greater Accra,Ga East,Clements Clinic,Clinic,Dome (Near Petrol Station),Private,5.708873,-0.2432307,Ghana
478,Greater Accra,Ga East,Pantang Health Assistants Training School,Institutional Health Centre,Pantang,Private,5.708873,-0.2432307,Ghana
479,Greater Accra,Ga East,CMFR Clinic,Clinic,Hatso,Private,5.708873,-0.2432307,Ghana
480,Greater Accra,Ga East,Dr Koranteng Dental Clinic,Clinic,Madina,Private,5.708873,-0.2432307,Ghana
481,Greater Accra,Ga East,African Moslem Clinic,Clinic,Madina,Private,5.708873,-0.2432307,Ghana
482,Greater Accra,Ga East,Victoria Clinic,Clinic,Madina,Private,5.708873,-0.2432307,Ghana
483,Greater Accra,Ga East,Leonard Clinic,Clinic,Madina,Private,5.708873,-0.2432307,Ghana
484,Greater Accra,Ga East,Van Medical Centre,Hospital,Ashongman,Private,5.708873,-0.2432307,Ghana
485,Greater Accra,Ga East,Passion Clinic,Clinic,Ogbojo,Private,5.708873,-0.2432307,Ghana
486,Greater Accra,Ga East,Taifa CHPS,Clinic,Taifa,Private,5.708873,-0.2432307,Ghana
487,Greater Accra,Ga East,Jilac Specialist Hospital,Hospital,Dome,Private,5.708873,-0.2432307,Ghana
488,Greater Accra,Ga East,Beans Clinic,Clinic,UnIdentified,Private,5.708873,-0.2432307,Ghana
489,Greater Accra,Ga East,St Clement Clinic,Clinic,Dome,Private,5.708873,-0.2432307,Ghana
490,Greater Accra,Ga East,Taifa CHPS,CHPS,Taifa,Private,5.708873,-0.2432307,Ghana
491,Greater Accra,Ga East,Dela Clinic,Clinic,Madina (Old Road),Private,5.708873,-0.2432307,Ghana
492,Greater Accra,Ga West,Holy Dove Hospital,Hospital,New Achimota,Private,5.708873,-0.2432307,Ghana
493,Greater Accra,Ga West,The New Achimota Clinic,Clinic,New Achimota,Private,5.708873,-0.2432307,Ghana
494,Greater Accra,Ga West,Bertmis Maternity Home,Maternity Home,Tabora,Private,5.708873,-0.2432307,Ghana
495,Greater Accra,Tema Metropolitan,Green House Clinic,Clinic,Spintex Road,Private,5.64767,-0.0015396,Ghana
496,Greater Accra,Tema Metropolitan,Dziram Eye Clinic,Clinic,Baatsona,Private,5.64767,-0.0015396,Ghana
497,Greater Accra,Accra Metropolitan,Korle-Bu Opthamalmic,Institutional Health Centre,Korle-Bu,Government,5.580728,-0.210467,Ghana
498,Greater Accra,Accra Metropolitan,Korle-Bu Pery Operative,Institutional Health Centre,Korle-Bu,Private,5.580728,-0.210467,Ghana
499,Greater Accra,Accra Metropolitan,Korle-Bu Public Health,Institutional Health Centre,Korle-Bu,Private,5.580728,-0.210467,Ghana
500,Greater Accra,Accra Metropolitan,Military Nurses Training College,Institutional Health Centre,37,Government,5.580728,-0.210467,Ghana
501,Greater Accra,Ga West,Western Hills School of Nursing (General Nursing),Institutional Health Centre,Ofankor,Private,5.6667219,-0.3560076,Ghana
502,Greater Accra,Ga East,Health Concern (Health Assistants Clinical),Institutional Health Centre,Hatso,Private,5.708873,-0.2432307,Ghana
503,Greater Accra,Tema Metropolitan,Nyaniba (Health Assistants Training School Clinical),Institutional Health Centre,Tema,Private,5.64767,-0.0015396,Ghana
504,Greater Accra,Accra Metropolitan,Martin Luther Health Assistants Training School,Institutional Health Centre,Odorkor,Private,5.580728,-0.210467,Ghana
