,Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude,Country
140,Greater Accra,Accra Metropolitan,Emmanuel Clinic (ENT Specialist),Clinic,Nungua,Private,5.58915,-0.08284,Ghana
141,Greater Accra,Tema Metropolitan,Esther Memorial Maternity Home & Clinic,Maternity Home,Ashaima New Town,Private,5.70392,-0.02951,Ghana
142,Greater Accra,Accra Metropolitan,Faith Medical Centre,Hospital,Alajo (near T junction),Private,5.59978,-0.21767,Ghana
143,Greater Accra,Accra Metropolitan,Fire Medical Centre (Old site),Hospital,James Town,Government,5.53282,-0.2177,Ghana
144,Greater Accra,Accra Metropolitan,Fralena Health Centre,Health Centre,Kaneshie,Private,5.5648,-0.23579,Ghana
145,Greater Accra,Ga East,Fransko Maternity Home (same as Francisca Maternity Home),Maternity Home,Madina,Private,5.67082,-0.17037,Ghana
146,Greater Accra,Ga East,Ga East District Health Directorate,District Health Centre,Abokobi,Government,5.7345,-0.20296,Ghana
147,Greater Accra,Ga West,Ga West District Health Directorate,District Health Centre,Amasaman,Private,5.70119,-0.30056,Ghana
148,Greater Accra,Tema Metropolitan,GAFCO Clinic,Clinic,Tema Main Habour,Private,5.63309,0.00807,Ghana
149,Greater Accra,Accra Metropolitan,Gak Clinic,Hospital,Osu (Nyaniba Estate),Private,5.55989,-0.174,Ghana
150,Greater Accra,Ga West,Gbawe Clinic & Maternity Home,Maternity Home,Gbawe,Private,5.57741,-0.2846,Ghana
151,Greater Accra,Tema Metropolitan,Ghacem Clinic,Clinic,Tema Main Habour,Private,5.6351,0.00686,Ghana
152,Greater Accra,Ga East,Ghana Atomic Energy Commission Clinic,Clinic,Atomic,Private,5.66854,-0.23162,Ghana
153,Greater Accra,Accra Metropolitan,Ghana Police Clinic,Clinic,37 Licencing Office,Government,5.59374,-0.17854,Ghana
154,Greater Accra,Accra Metropolitan,Regional Health Directorate,Regional Health Centre,Adabraka,Private,5.55802,-0.20629,Ghana
155,Greater Accra,Accra Metropolitan,Regional Health Directorate (new site),Regional Health Centre,Adabraka,Government,5.56179,-0.20348,Ghana
156,Greater Accra,Accra Metropolitan,Gimpa Clinic,Clinic,Greenhill,Government,5.63633,-0.20028,Ghana
157,Greater Accra,Ga East,Global Medical Centre,Clinic,Madina,Private,5.67534,-0.18185,Ghana
158,Greater Accra,Tema Metropolitan,Gloria Family Health Centre,Hospital,Adenta,Private,5.69705,-0.17367,Ghana
159,Greater Accra,Accra Metropolitan,Gloria's Maternity Home,Maternity Home,New Town,Private,5.5867,-0.20833,Ghana
